Id|Genere
1|Art Punk
2|Alternative Rock
3|Britpunk
4|College Rock
5|Crossover Thrash
6|Crust Punk
7|Emotional Hardcore
8|Experimental Rock
9|Folk Punk
10|Gothic Rock
11|Grunge
12|Hardcore Punk
13|Hard Rock
14|Indie Rock
15|Lo-fi
16|Musique Concrète
17|New Wave
18|Progressive Rock
19|Punk
20|Shoegaze
21|Steampunk
22|Blues
23|Rock
24|Classical
25|Country
26|Dance
27|Pop
28|Electronic
29|French Pop
30|German Folk
31|German Pop
32|Hip-Hop/Rap
33|Indie Pop
34|Industrial
35|Instrumental
36|J-Pop
37|Jazz
38|K-Pop
39|Karaoke
40|Latin
41|New Age
42|Opera
43|Progressive
44|R&B/Soul
45|Reggae 
